0,1,2
49,43,57
45,41,55
44,43,57
42,48,64
40,48,67
33,44,66
27,39,63
37,53,43
38,53,48
39,53,54
41,55,58
42,56,59
44,58,58
45,60,55
46,62,52
36,59,39
36,59,39
35,58,38
53,135,11
53,135,7
57,139,3
66,144,6
74,151,13
78,151,18
76,146,22
73,140,24
69,131,22
58,121,16
45,107,8
35,99,2
38,103,3
50,118,9
67,138,18
79,151,25
80,140,16
72,127,0
49,117,6
27,78,9
31,54,2
22,67,0
16,48,7
136,90,116
239,151,212
249,157,222
237,137,209
224,116,191
230,118,194
225,113,185
215,104,170
221,113,175
238,141,220
255,181,241
193,148,181
30,19,27
10,25,20
14,43,38
21,53,52
43,76,81
24,66,44
22,64,42
19,61,37
17,59,35
16,59,32
18,61,33
21,64,36
23,66,38
39,81,71
45,82,74
54,86,81
63,89,86
65,83,85
53,64,68
28,35,43
9,13,22
17,17,25
13,13,21
15,18,23
30,39,38
51,62,56
57,70,60
44,61,45
27,46,27
20,40,28
16,37,20
21,41,16
33,52,22
46,63,29
57,71,38
73,84,52
85,96,66
102,104,90
95,97,84
78,81,70
54,57,48
32,38,26
30,39,22
46,55,34
63,73,48
67,86,56
77,96,66
84,103,73
77,96,68
56,73,54
33,49,38
18,33,30
12,26,29
6,27,28
3,31,17
4,39,6
10,53,0
19,65,3
28,72,13
34,74,22
35,72,28
38,69,27
43,71,33
44,68,36
37,60,32
34,56,33
35,61,34
30,64,29
26,63,22
26,58,35
27,60,31
29,63,28
31,66,24
30,65,25
27,60,29
23,55,32
20,51,35
43,65,52
44,66,53
44,66,53
44,66,53
42,65,45
39,63,37
35,61,26
33,59,20
27,62,30
26,61,29
25,60,28
25,60,30
26,61,31
25,60,30
25,60,28
24,59,27
21,43,22
18,40,19
15,39,17
16,44,22
22,51,31
25,56,38
24,57,38
22,55,38
17,58,14
29,72,18
45,92,24
61,110,29
66,119,31
62,117,26
54,108,22
47,102,19
40,78,31
39,75,31
35,70,30
36,67,33
37,69,32
42,72,34
47,78,34
52,81,33
42,79,38
42,79,38
43,80,39
44,81,40
44,81,40
45,82,41
46,83,42
46,83,42
37,76,32
32,69,28
36,67,35
45,71,42
46,72,43
39,70,38
37,73,35
42,81,37
52,82,54
52,85,54
53,87,54
50,86,50
49,85,47
51,89,48
58,99,55
65,107,61
72,124,41
76,131,38
80,135,42
76,128,54
73,114,80
77,104,113
90,106,140
101,112,158
110,125,166
108,123,162
106,122,156
103,123,150
101,122,141
91,115,127
77,102,109
64,92,95
40,74,49
39,73,46
39,73,46
39,74,44
39,74,44
40,75,43
41,76,43
42,77,44
37,77,42
38,77,46
41,76,52
41,75,58
43,74,66
47,75,76
53,80,87
60,84,94
67,86,101
67,86,103
66,84,104
65,83,107
64,81,109
64,80,113
63,79,115
63,79,115
51,68,98
49,66,96
46,62,95
45,61,95
45,61,95
46,62,98
49,65,101
51,66,105
45,62,92
46,63,93
47,64,94
49,66,96
50,67,97
52,69,99
53,70,100
54,71,101
49,64,97
48,63,96
47,62,93
45,60,89
42,57,86
40,56,82
39,55,81
38,54,79
37,55,65
27,45,59
20,35,54
27,39,65
43,50,79
51,56,86
49,53,82
41,45,72
44,51,70
52,57,77
58,63,82
61,64,83
58,59,79
53,54,74
54,52,73
55,53,74
61,43,65
54,39,62
48,36,60
46,40,68
51,50,81
56,59,92
59,65,101
57,65,102
56,68,68
56,67,69
56,67,69
56,67,69
56,68,68
56,68,64
56,69,59
56,70,55
35,58,38
34,57,37
34,57,37
51,132,11
52,132,7
52,133,2
56,137,0
61,139,1
66,143,5
70,143,10
70,143,12
72,151,8
70,149,8
65,146,9
61,143,7
60,142,5
59,144,1
60,146,0
59,149,0
73,152,0
83,158,0
75,164,14
64,138,25
71,119,20
61,131,15
45,105,15
141,123,99
231,154,208
241,160,218
230,142,203
213,118,184
217,118,183
220,122,183
214,119,175
214,122,173
226,135,202
251,178,233
210,166,199
54,43,49
4,21,5
20,54,37
22,63,59
45,85,93
41,92,75
41,92,73
41,92,73
40,92,70
40,93,67
38,91,63
37,90,62
36,89,59
38,87,68
41,85,68
47,85,72
57,86,81
61,81,80
53,64,68
34,37,46
18,18,30
16,17,22
9,12,17
13,16,21
32,37,40
55,64,61
63,74,66
51,65,50
35,50,31
22,45,29
21,42,23
26,46,21
38,55,23
52,66,31
70,80,45
89,95,61
101,105,72
121,119,104
104,105,91
80,80,70
54,56,45
38,41,30
40,44,29
50,58,35
61,69,45
68,90,51
78,101,57
87,109,63
84,105,62
68,87,55
46,63,45
32,44,42
24,34,43
3,36,17
17,58,16
39,89,16
60,118,16
71,134,20
73,132,24
68,123,29
63,115,33
42,72,18
37,63,24
36,59,33
42,61,42
42,65,39
36,63,28
28,60,19
24,61,18
19,64,9
30,76,11
44,93,12
54,105,13
54,105,13
43,92,13
28,74,10
18,62,11
31,58,25
33,58,28
34,58,34
36,59,39
38,59,42
40,61,44
43,62,43
44,63,43
50,70,45
44,66,43
40,62,41
38,59,40
38,59,40
36,60,38
32,56,32
28,52,26
27,38,22
24,39,20
21,44,16
24,54,18
28,65,22
29,71,25
27,69,23
24,66,20
30,86,13
41,99,14
57,120,13
70,139,12
77,147,12
75,146,14
68,138,16
62,132,16
54,103,14
48,95,17
42,82,22
37,69,28
36,63,32
38,63,33
45,67,31
49,70,31
39,72,29
39,72,29
39,72,29
39,72,29
38,71,28
38,71,28
38,71,28
38,71,28
28,62,25
25,54,23
27,53,28
34,58,36
35,59,35
29,58,27
29,64,22
35,74,27
34,72,21
39,78,25
44,83,26
45,87,24
43,88,21
47,93,21
52,100,26
58,106,30
64,130,20
71,141,17
79,150,18
85,150,34
86,139,61
90,127,94
96,122,123
104,121,139
115,130,159
114,130,156
114,132,154
114,135,152
112,136,146
104,129,134
89,117,118
78,108,108
49,84,54
47,82,52
45,80,50
43,78,46
42,77,45
42,77,45
44,79,47
44,79,47
42,81,37
47,85,46
51,88,57
52,85,66
50,80,72
53,81,84
64,88,98
73,96,110
90,105,128
90,104,130
89,103,130
89,102,134
88,101,135
87,99,137
86,98,138
86,98,138
67,82,113
66,81,114
63,78,111
61,75,110
61,75,112
63,77,114
66,80,119
67,81,120
59,73,108
60,74,109
61,75,110
63,77,112
64,78,113
66,80,115
67,81,116
68,82,117
59,72,106
59,72,106
58,71,105
56,69,103
55,68,102
53,66,98
52,65,97
51,64,96
43,60,80
36,52,77
31,45,74
37,47,82
49,54,92
55,59,97
51,53,91
45,48,83
54,60,86
61,67,93
71,75,102
73,77,104
70,71,101
64,63,94
60,59,91
61,57,90
66,49,68
62,47,68
59,47,69
61,53,76
65,63,84
68,71,90
65,73,86
62,72,84
61,68,84
61,68,84
60,68,81
58,66,77
56,65,70
55,65,66
54,65,61
53,64,58
31,52,35
30,51,34
30,51,34
50,129,10
50,130,7
50,131,3
51,131,0
52,132,0
56,134,0
60,138,2
63,141,5
73,151,5
71,149,4
67,146,3
64,143,0
60,142,0
58,142,0
57,141,0
57,143,0
58,143,0
71,153,0
63,163,3
60,147,14
72,135,5
70,157,1
61,142,5
148,150,77
220,155,197
227,158,203
219,143,192
203,123,176
205,122,174
210,128,176
208,130,172
206,130,168
216,136,187
230,164,210
213,174,203
99,94,91
2,27,0
24,68,33
31,83,70
51,103,114
63,126,118
64,127,118
65,128,117
65,129,115
63,127,110
60,125,105
57,122,100
55,120,96
49,108,80
46,100,76
44,89,69
45,79,65
45,68,60
40,52,52
29,32,37
20,19,25
18,26,15
13,20,13
12,21,18
28,37,34
48,59,53
58,70,60
49,62,45
37,50,30
18,43,22
19,45,20
23,46,17
31,51,14
48,64,27
71,83,45
89,99,64
100,107,73
119,117,102
100,101,87
76,76,64
52,54,43
41,45,31
44,48,31
54,62,39
64,73,46
66,89,45
74,97,51
81,105,57
81,105,57
66,91,49
48,72,40
32,54,33
23,44,29
23,71,9
48,103,19
82,147,27
103,178,26
106,184,22
99,174,19
92,163,25
91,157,33
70,107,38
40,71,27
20,45,24
24,47,27
31,59,21
31,66,8
37,78,12
49,94,29
64,126,15
76,140,18
92,159,20
104,172,23
104,173,22
93,160,19
78,142,19
66,129,15
46,87,8
46,83,13
42,77,19
41,72,30
45,71,42
51,74,54
58,79,64
63,83,71
75,84,57
70,78,55
67,71,56
68,71,62
71,74,67
72,75,68
67,70,59
62,66,51
53,54,46
51,60,39
49,74,34
52,91,28
55,107,24
56,113,18
52,110,8
46,104,1
58,126,27
61,134,19
70,146,12
76,157,3
81,163,3
79,163,7
75,159,12
73,155,18
70,136,0
64,125,4
55,106,14
45,85,23
41,69,31
40,60,35
42,57,38
45,56,39
41,64,35
40,63,34
39,62,33
37,60,31
35,58,29
33,56,27
31,54,25
31,54,25
21,45,23
15,36,19
16,32,22
22,37,32
24,41,31
19,43,21
20,52,15
27,63,19
30,77,0
39,88,6
51,101,14
55,108,16
55,109,13
53,109,8
53,111,8
54,113,7
49,123,8
60,137,5
73,153,4
83,161,16
87,154,38
88,141,59
89,130,74
89,125,79
105,132,113
103,130,111
103,132,112
105,134,114
104,136,113
99,131,108
89,121,97
79,113,88
56,85,54
53,82,51
48,77,46
43,72,42
41,70,40
41,70,40
42,71,41
44,73,43
40,75,33
45,79,42
52,83,52
51,80,58
50,76,65
53,77,77
64,84,91
73,93,104
96,109,128
95,108,127
95,107,129
94,106,130
93,105,131
92,103,133
92,103,133
92,103,135
71,87,110
69,85,110
67,83,108
65,81,107
65,81,107
67,82,111
69,84,115
71,86,117
70,84,121
71,85,122
72,86,123
74,88,125
75,89,126
77,91,128
78,92,129
79,93,130
77,87,123
77,87,123
77,87,123
76,86,122
75,84,123
